"id","name","est_diameter_min","est_diameter_max","relative_velocity","miss_distance","orbiting_body","sentry_object","absolute_magnitude","hazardous"
54192207,"(2021 QV6)",0.0689532874,0.154184238,87022.4404928911,62305911.6940376,"Earth","False",22.93,"False"
3757413,"(2016 PD40)",0.0506471459,0.1132504611,23143.154298852,21781913.1018045,"Earth","False",23.6,"False"
3563277,"(2011 GC62)",0.0506471459,0.1132504611,60356.5896191101,43781734.4852336,"Earth","False",23.6,"False"
3608618,"(2012 RG15)",0.2968622513,0.6638041738,86381.7875226068,38035435.8256945,"Earth","False",19.76,"True"
2001943,"1943 Anteros (1973 EC)",1.9344387205,4.3255364773,18330.0201479539,65958126.219664,"Earth","False",15.69,"False"
54006056,"(2020 DV4)",0.022108281,0.0494356193,82240.7564095286,2441036.89954009,"Earth","False",25.4,"False"
3765705,"(2016 XC18)",0.1108038821,0.2477650126,74032.9869659566,6288513.37179356,"Earth","False",21.9,"True"
2348400,"348400 (2005 JF21)",0.930154254,2.0798881414,50428.7059669394,43549473.1406903,"Earth","False",17.28,"True"
54117606,"(2021 CH8)",0.0288771931,0.0645713667,34883.7865222524,13143832.3387523,"Earth","False",24.82,"False"
3836851,"(2018 XN2)",0.0278326768,0.0622357573,32860.3590796202,9249722.47047312,"Earth","False",24.9,"False"
2510055,"510055 (2010 FH81)",0.1289896833,0.2884297004,35742.7230040591,18217877.7690677,"Earth","False",21.57,"True"
54245569,"(2022 CC2)",0.0328514828,0.0734581487,41697.2133747108,4549826.44423472,"Earth","False",24.54,"False"
3767250,"(2017 BS31)",0.1108038821,0.2477650126,95116.4873046212,50611392.4957175,"Earth","False",21.9,"True"
2363734,"363734 (2004 XN50)",0.4431543091,0.9909231597,116642.941806826,27652841.1783687,"Earth","False",18.89,"True"
3673133,"(2014 KV86)",0.2063264836,0.4613600429,58198.9825162318,34254756.3432541,"Earth","False",20.55,"True"
54255056,"(2022 ER5)",0.0189913123,0.0424658654,44199.9835109014,801699.817341201,"Earth","False",25.73,"False"
3803759,"(2018 GX4)",0.3841978911,0.8590926012,69295.7609436823,26879656.1511891,"Earth","False",19.2,"False"
2168318,"168318 (1989 DA)",0.4411182,0.9863702813,76148.5897022605,64077502.5833442,"Earth","False",18.9,"True"
54230517,"(2021 XL6)",0.1536579294,0.3435895754,72468.4368968492,57722270.9850162,"Earth","False",21.19,"True"
3666678,"(2014 FQ37)",0.1160259082,0.2594418179,53633.9512948817,53275622.431077,"Earth","False",21.8,"False"
54054374,"(2020 RE8)",0.0242412481,0.0542050786,38337.4018177096,6937656.90157721,"Earth","False",25.2,"False"
2466508,"466508 (2014 GY48)",0.4972273129,1.1118340719,103693.229116486,59565423.8106117,"Earth","False",18.64,"True"
3137865,"(2002 TB70)",0.1272198785,0.2844722965,33869.0672024144,42013145.950379,"Earth","False",21.6,"True"
3309093,"(2005 YU3)",0.2914439045,0.6516883822,62307.3114433552,57046061.7149191,"Earth","False",19.8,"True"
3748518,"(2016 FV14)",0.0483676488,0.1081533507,21741.394536861,36198021.3200757,"Earth","False",23.7,"False"
3655451,"(2013 YB14)",0.0732073989,0.1636967205,69665.5394080992,7366206.37429669,"Earth","False",22.8,"False"
3610765,"(2012 TJ146)",0.1961349444,0.4385710684,30477.1427248156,12345335.4417274,"Earth","False",20.66,"True"
3824115,"(2018 JK3)",0.1214940408,0.2716689341,75091.3473409787,26385497.0619105,"Earth","False",21.7,"True"
3748546,"(2016 FC15)",0.1529519353,0.3420109247,30428.4419195669,13503766.9382621,"Earth","False",21.2,"True"
3893856,"(2019 XL)",0.0127219879,0.0284472297,38110.7134726535,20892829.4884886,"Earth","False",26.6,"False"
3727643,"(2015 RS83)",0.3503926411,0.7835017643,90287.8676619854,32400900.3884515,"Earth","False",19.4,"False"
3767247,"(2017 BQ31)",0.1925550782,0.4305662442,71195.3606842567,24102651.7867311,"Earth","False",20.7,"False"
3412755,"(2008 KV2)",0.152249185,0.3404395273,42194.4141270611,7469630.30820908,"Earth","False",21.21,"True"
2416801,"416801 (2005 GC120)",0.3122877701,0.6982966825,63371.5289209638,69835210.7133934,"Earth","False",19.65,"True"
3879231,"(2019 UO)",0.2597496533,0.580817882,78047.7714561366,56374673.8495341,"Earth","False",20.05,"True"
3607627,"(2012 PP24)",0.096506147,0.2157943048,17127.0797093596,22643531.054821,"Earth","False",22.2,"False"
3669359,"(2014 HK129)",0.160160338,0.358129403,65584.3986741445,35984073.3727831,"Earth","False",21.1,"True"
2359369,"359369 (2009 YG)",0.5553349116,1.2417666126,114996.474599035,58965439.4573713,"Earth","False",18.4,"True"
3553153,"(2010 XG11)",0.2658,0.5943468684,60142.9906799831,68820204.6488229,"Earth","False",20,"False"
3837932,"(2019 AY13)",0.077366861,0.1729975604,98530.4613889094,54219511.3736652,"Earth","False",22.68,"False"
3757051,"(2016 NC56)",0.0092162655,0.0206081961,52713.6897394494,1263794.83219353,"Earth","False",27.3,"False"
2523663,"523663 (2012 OZ)",0.2538370294,0.5675968529,40475.1426242134,51394960.8118581,"Earth","False",20.1,"False"
3136725,"(2002 RT129)",0.3094246986,0.69189466,80359.470186647,26307375.4983786,"Earth","False",19.67,"False"
2141053,"141053 (2001 XT1)",0.4619074603,1.0328564805,46408.4581311364,23266133.932815,"Earth","False",18.8,"True"
3754438,"(2016 NG15)",0.1997813652,0.4467247133,54259.2011427516,54360453.8549821,"Earth","False",20.62,"True"
3989074,"(2020 BJ4)",0.1113153296,0.2489086439,94792.2835529369,74375444.2241339,"Earth","False",21.89,"True"
3703073,"(2014 YR15)",0.1332155667,0.2978790628,29437.7362122836,15994750.856568,"Earth","False",21.5,"True"
54016237,"(2020 FT1)",0.0880146521,0.1968067451,23528.8836228149,13624020.5727103,"Earth","False",22.4,"False"
3771012,"(2017 ER2)",0.0278326768,0.0622357573,25853.9373701818,20537334.4900071,"Earth","False",24.9,"False"
3838125,"(2019 CP1)",0.02658,0.0594346868,41991.0215358204,38499533.193077,"Earth","False",25,"False"
54245561,"(2022 CV1)",0.0212106988,0.0474285643,29207.6280325831,11946984.1391212,"Earth","False",25.49,"False"
3321493,"(2006 CU)",0.1058168859,0.2366137501,40831.0588149019,6949132.19515003,"Earth","False",22,"True"
3160850,"(2003 TK2)",0.3051792326,0.6824015094,44985.0120485814,19324106.2211982,"Earth","False",19.7,"True"
2267270,"267270 (2001 RP17)",0.6376097899,1.4257388333,12164.8939188293,57991435.7155628,"Earth","False",18.1,"False"
3559839,"(2011 EL51)",0.1108038821,0.2477650126,116966.017076523,65255074.4840746,"Earth","False",21.9,"True"
3599599,"(2012 DX13)",0.0421264611,0.0941976306,87996.1121699724,1866787.86787579,"Earth","False",24,"False"
3879384,"(2019 UC4)",0.1529519353,0.3420109247,90248.1303075012,66998622.1157059,"Earth","False",21.2,"True"
54051324,"(2020 QC4)",0.0278326768,0.0622357573,4915.0955331854,25901908.1392521,"Earth","False",24.9,"False"
54016489,"(2020 GA2)",0.1529519353,0.3420109247,88909.5152260044,3282430.19291881,"Earth","False",21.2,"True"
2206378,"206378 (2003 RB)",0.4859090375,1.0865256386,24598.1970410131,13965988.5577918,"Earth","False",18.69,"True"
54087860,"(2020 VZ5)",0.1616422833,0.3614431336,59209.1983811858,19516171.5605391,"Earth","False",21.08,"True"
2509505,"509505 (2007 VL8)",0.1529519353,0.3420109247,85006.4116958086,61837759.8055041,"Earth","False",21.2,"False"
3674249,"(2014 MB55)",0.0305179233,0.0682401509,29650.6635864268,3554312.2490957,"Earth","False",24.7,"False"
2506859,"506859 (2007 VW137)",0.6061149227,1.3553141694,77158.7997556093,62168399.1328449,"Earth","False",18.21,"True"
3114074,"(2002 DC3)",0.0160160338,0.0358129403,18931.4334010486,4122879.41901932,"Earth","False",26.1,"False"
54192179,"(2021 QK6)",0.0742258153,0.1659739687,37047.2951381922,55946763.2195587,"Earth","False",22.77,"False"
3655744,"(2014 AB16)",0.0211132445,0.0472106499,42039.775948617,4547039.43591662,"Earth","False",25.5,"False"
2101955,"101955 Bennu (1999 RQ36)",0.2412986969,0.5395602892,24638.0625106044,4956237.13760992,"Earth","False",20.21,"True"
3685810,"(2014 QB433)",0.0880146521,0.1968067451,48172.9161252996,53400360.0672013,"Earth","False",22.4,"False"
3989285,"(2020 BX12)",0.1988634532,0.4446721997,99742.5759339202,16125235.2499889,"Earth","False",20.63,"True"
3441149,"(2008 XQ2)",0.2412986969,0.5395602892,52294.3873914654,36353278.8963719,"Earth","False",20.21,"True"
54216336,"(2021 VL3)",0.0053524791,0.011968507,25426.2207468391,22534460.9532197,"Earth","False",28.48,"False"
3788037,"(2017 UY5)",0.4619074603,1.0328564805,93161.9828227666,74702314.7622554,"Earth","False",18.8,"True"
3529053,"(2010 LK34)",0.1108038821,0.2477650126,61928.8555532677,54914342.6763786,"Earth","False",21.9,"True"
3346477,"(2006 SP198)",0.1332155667,0.2978790628,15904.4140063266,41492730.0413495,"Earth","False",21.5,"False"
54200300,"(2021 SN1)",0.1661709017,0.3715694322,60681.3698229808,57703429.7316811,"Earth","False",21.02,"True"
3989284,"(2020 BW12)",0.0160160338,0.0358129403,53054.1342140504,62712619.4139837,"Earth","False",26.1,"False"
3781871,"(2017 SG14)",0.2251930467,0.5035469604,82576.560189519,64488892.5670234,"Earth","False",20.36,"True"
3600601,"(2012 ER3)",0.0334622374,0.0748238376,75592.7288502214,59384210.0015648,"Earth","False",24.5,"False"
3152319,"(2003 GS22)",0.0840533402,0.1879489824,19551.5239341631,27823181.9748674,"Earth","False",22.5,"False"
3836711,"(2018 XE)",0.0211132445,0.0472106499,29808.2095765962,2197227.79621571,"Earth","False",25.5,"False"
54216382,"(2021 VK4)",0.0267026877,0.0597090249,45174.9821143475,36635382.4214937,"Earth","False",24.99,"False"
3297635,"(2005 VA2)",0.1572370824,0.3515928047,59355.2850035886,38389021.2672046,"Earth","False",21.14,"False"
2154330,"154330 (2002 VX94)",0.6173834405,1.3805113411,69446.9044281542,52815445.9341085,"Earth","False",18.17,"True"
3117460,"(2002 FT5)",0.1289896833,0.2884297004,61712.2327132436,32645981.3279872,"Earth","False",21.57,"False"
3249347,"(2004 PS42)",0.1460679643,0.3266178974,42981.402001909,58465182.4896354,"Earth","False",21.3,"True"
2144900,"144900 (2004 VG64)",0.5841911542,1.3062911326,124536.849099485,44161280.1088783,"Earth","False",18.29,"True"
3761480,"(2016 UZ25)",0.1272198785,0.2844722965,110199.767327197,31799793.6173523,"Earth","False",21.6,"True"
